l0,l1,l2,l3,project_name,program_name,program_address,twitter,
DeFi,Asset Management,,,Squads,Squads Txmeta,SMPL5bz5ERMdweouWrXtk3jmb6FnjZkWf7pHDsE6Zwz,https://twitter.com/SquadsProtocol,
DeFi,Asset Management,,,Squads,Squads V4,SQDS4ep65T869zMMBKyuUq6aD6EgTu8psMjkvj52pCf,https://twitter.com/SquadsProtocol,
DeFi,Staking,,,Famous Fox Federation,Foxy Missions,6NcdQ5WTnrPoMLbP4kvpLYa4YSwKqkNHRRE8XVf5hmv9,https://twitter.com/FamousFoxFed,
DeFi,Liquidity,,,Hubble Protocol,Hubble Borrow,HubbLeXBb7qyLHt3x7gvYaRrxQmmgExb7fCJgDqFuB6T,https://twitter.com/hubbleprotocol,
DeFi,Lending,,,PsyFi,Psy Lending,PLENDj46Y4hhqitNV2WqLqGLrWKAaH2xJHm2UyHgJLY,https://twitter.com/PsyOptions,
DeFi,Prediction Markets,,,Famous Fox Federation,Foxy Coinflip,72D3En8GQycjtunxf9mgyR8onzYdPqYFsKp4myUzhaRZ,https://twitter.com/FamousFoxFed,
DeFi,Staking,,,Slow Protocol,Slow Protocol,s1owa2k7P2kkLEenZPKuGddWMVpy8Pt2oMVeBdtSHM6,https://twitter.com/slowprotocol,
DeFi,,,,Famous Fox Federation,Foxy Token Market,8BYmYs3zsBhftNELJdiKsCN2WyCBbrTwXd6WG4AFPr6n,https://twitter.com/FamousFoxFed,
DeFi,Staking,Liquid Staking,,Lido Finance,Lido Program,CrX7kMhLC3cSsXJdT7JDgqrRVWGnUpX3gfEfxxU2NVLi,https://twitter.com/LidoFinance,
DeFi,Lending,,,Francium,Francium Lending,FC81tbGt6JWRXidaWYFXxGnTk4VgobhJHATvTRVMqgWj,https://twitter.com/Francium_Defi,
DeFi,DEX,AMM,,Marco Polo,Marco Polo,9tKE7Mbmj4mxDjWatikzGAtkoWosiiZX9y6J4Hfm2R8H,,
NFT,NFT Lending,,,Frakt,Frakt Bonds,4tdmkuY6EStxbS6Y8s5ueznL3VPMSugrvQuDeAHGZhSt,https://twitter.com/FRAKT_HQ,
NFT,Raffle,,,Frakt,Frakt Raffle,raffyhEJMx59iDx778Y9gdaVcP2XDeusPcPBxwr3qAH,https://twitter.com/FRAKT_HQ,
NFT,NFT Lending,,,Frakt,Frakt Lending,A66HabVL3DzNzeJgcHYtRRNW1ZRMKwBfrdSR4kLsZ9DJ,https://twitter.com/FRAKT_HQ,
NFT,NFT Lending,,,Frakt,Frakt Market Registry,regNrR9XpXkg6VCZXEyTwCGVETwKpZMtQxYx3zResJh,https://twitter.com/FRAKT_HQ,
NFT,NFT Lending,,,Frakt,Cross token AMM,AFnufgr188AiEMFji3D5GkB8vNyZybxC8PfcuD1wrfwA,https://twitter.com/FRAKT_HQ,
NFT,NFT Lending,,,Frakt,Bond Validation,41eQiufrrjD5WXR7A39qsmQACYgHpNEdAUsaCmuhT439,https://twitter.com/FRAKT_HQ,
NFT,NFT Lending,,,Sharky,Sharky,SHARKobtfF1bHhxD2eqftjHBdVSCbKo9JtgK71FhELP,https://twitter.com/SharkyFi,
NFT,NFT Lending,,,RainFi,RainFi,RainEraPU5yDoJmTrHdYynK9739GkEfDsE4ffqce2BR,https://twitter.com/rainfi_,
NFT,NFT Lending,,,Famous Fox Federation,Citrus,JCFRaPv7852ESRwJJGRy2mysUMydXZgVVhrMLmExvmVp,https://twitter.com/FamousFoxFed,
NFT,Staking,,,Famous Fox Federation,Foxy Stake,FoXpJL1exLBJgHVvdSHNKyKu2xX2uatctH9qp6dLmfpP,https://twitter.com/FamousFoxFed,
NFT,Raffle,,,Famous Fox Federation,Foxy Raffle,9ehXDD5bnhSpFVRf99veikjgq8VajtRH7e3D9aVPLqYd,https://twitter.com/FamousFoxFed,
NFT,Marketplace,,,Magic Eden,MAGIC EDEN V2,M2mx93ekt1fmXSVkTrUL9xVFHkmME8HTUi5Cyc5aF7K,https://twitter.com/MagicEden,
NFT,Marketplace,,,Magic Eden,Magic Eden Global Bid,mmm3XBJg5gk8XJxEKBvdgptZz6SgK4tXvn36sodowMc,https://twitter.com/MagicEden,
NFT,Marketplace,,,Magic Eden,Magic Eden OCP,ocp4vWUzA2z2XMYJ3QhM9vWdyoyoQwAFJhRdVTbvo9E,https://twitter.com/MagicEden,
NFT,Marketplace,,,Magic Eden,Magic Eden CMT,CMTQqjzH6Anr9XcPVt73EFDTjWkJWPzH7H6DtvhHcyzV,https://twitter.com/MagicEden,
NFT,Marketplace,,,Alpha Art,Alpha Art,HZaWndaNWHFDd9Dhk5pqUUtsmoBCqzb1MLu3NAh1VX6B,https://twitter.com/MagicEden,
NFT,Marketplace,,,Magic Eden,MAGIC EDEN V1,MEisE1HzehtrDpAAT8PnLHjpSSkRYakotTuJRPjTpo8,https://twitter.com/MagicEden,
NFT,Marketplace,,,Hadeswap,Hadeswap,hadeK9DLv9eA7ya5KCTqSvSvRZeJC3JgD5a9Y3CNbvu,https://twitter.com/hadeswap/,
NFT,Marketplace,,,Coral Cube,Coral Cube,6U2LkBQ6Bqd1VFt7H76343vpSwS5Tb1rNyXSNnjkf9VL,https://twitter.com/MagicEden,
NFT,Marketplace,,,Yaww,Yaww,5SKmrbAxnHV2sgqyDXkGrLrokZYtWWVEEk5Soed7VLVN,https://twitter.com/YawwwNFT,
NFT,Marketplace,,,Exchange Art,Exchange Art Instant Sale,AmK5g2XcyptVLCFESBCJqoSfwV3znGoVYQnqEnaAZKWn,https://twitter.com/exchgART,
NFT,Marketplace,,,Exchange Art,Exchange Art Mint,EXBuYPNgBUXMTsjCbezENRUtFQzjUNZxvPGTd11Pznk5,https://twitter.com/exchgART,
NFT,Marketplace,,,Exchange Art,Exchange Art Auction,exAuvFHqXXbiLrM4ce9m1icwuSyXytRnfBkajukDFuB,https://twitter.com/exchgART,
NFT,Marketplace,,,Exchange Art,Exchange Art Offer,exofLDXJoFji4Qyf9jSAH59J4pp82UT5pmGgR6iT24Z,https://twitter.com/exchgART,
NFT,Marketplace,,,Opensea,Opensea,3o9d13qUvEuuauhFrVom1vuCzgNsJifeaBYDPquaT73Y,https://twitter.com/opensea,
NFT,Marketplace,,,Solsea,Solsea V1,617jbWo616ggkDxvW1Le8pV38XLbVSyWY8ae6QUmGBAU,https://twitter.com/SolSeaNFT,
NFT,Marketplace,,,Solsea,Solsea V2,AARTcKUzLYaWmK7D1otgyAoFn5vQqBiTrxjwrvjvsVJa,https://twitter.com/SolSeaNFT,
NFT,Marketplace,NFT Aggregator,,Hyperspace,Hyperspace,HYPERfwdTjyJ2SCaKHmpF2MtrXqWxrsotYDsTrshHWq8,https://twitter.com/hyperspacexyz,
NFT,Marketplace,,,Solanart,Solanart,CJsLwbP1iu5DuUikHEJnLfANgKy6stB2uFgvBBHoyxwz,https://twitter.com/SolanartNFT,
NFT,Marketplace,,,Digital Eye,Digital Eye,A7p8451ktDCHq5yYaHczeLMYsjRsAkzc3hCXcSrwYHU7,,
NFT,Marketplace,,,Tensor,Tensor Swap,TSWAPaqyCSx2KABk68Shruf4rp7CxcNi8hAsbdwmHbN,https://twitter.com/tensor_hq,
NFT,Marketplace,,Compressed NFT,Tensor,Tensor cNFT,TCMPhJdwDryooaGtiocG1u3xcYbRpiJzb283XfCZsDp,https://twitter.com/tensor_hq,
NFT,Marketplace,,Compressed NFT,Tensor,Tensor Whitelist,TL1ST2iRBzuGTqLn1KXnGdSnEow62BzPnGiqyRXhWtW,https://twitter.com/tensor_hq,
NFT,Marketplace,,,Metaplex,Metaplex Auction House,hausS13jsjafwWwGqZTUQRmWyvyxn9EQpqMwV1PBBmk,https://twitter.com/metaplex,
NFT,Marketplace,,,Solport,Solport,SPf5WqNywtPrRXSU5enq5z9bPPhREaSYf2LhN5fUxcj,https://twitter.com/solportio,
NFT,Marketplace,,,Rarible,Rarible,raria47jXd4tdW6Dj7T64mgahwTjMsVaDwFxMHt9Jbp,https://twitter.com/rarible,
NFT,Marketplace,,,Holaplex,Holaplex,9SvsTjqk3YoicaYnC4VW1f8QAN9ku7QCCk6AyfUdzc9t,https://twitter.com/holaplex,
NFT,Marketplace,,,Elixir,Elixir V2,E1XRkj9fPF2NQUdoq41AHPqwMDHykYfn5PzBXAyDs7Be,https://twitter.com/ElixirProtocol,
NFT,Primary Mint,Launchpad,,Magic Eden,Magic Eden Launchpad V2,CMZYPASGWeTz7RNGHaRJfCq2XQ5pYK6nDvVQxzkH51zb,https://twitter.com/MagicEden,
